"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3611946","ZCTA5 11946, New York","14068"
"8710000US3611947","ZCTA5 11947, New York","416"
"8710000US3611948","ZCTA5 11948, New York","1123"
"8710000US3611949","ZCTA5 11949, New York","14573"
"8710000US3611950","ZCTA5 11950, New York","16268"
"8710000US3611951","ZCTA5 11951, New York","13680"
"8710000US3611952","ZCTA5 11952, New York","4637"
"8710000US3611953","ZCTA5 11953, New York","13553"
"8710000US3611954","ZCTA5 11954, New York","3326"
"8710000US3611955","ZCTA5 11955, New York","3285"
"8710000US3611956","ZCTA5 11956, New York","349"
"8710000US3611957","ZCTA5 11957, New York","743"
"8710000US3611958","ZCTA5 11958, New York","635"
"8710000US3611959","ZCTA5 11959, New York","939"
"8710000US3611960","ZCTA5 11960, New York","1084"
"8710000US3611961","ZCTA5 11961, New York","12834"
"8710000US3611962","ZCTA5 11962, New York","494"
"8710000US3611963","ZCTA5 11963, New York","6622"
"8710000US3611964","ZCTA5 11964, New York","1858"
"8710000US3611965","ZCTA5 11965, New York","534"
"8710000US3611967","ZCTA5 11967, New York","26583"
"8710000US3611968","ZCTA5 11968, New York","11593"
"8710000US3611970","ZCTA5 11970, New York","522"
"8710000US3611971","ZCTA5 11971, New York","5818"
"8710000US3611972","ZCTA5 11972, New York","1321"
"8710000US3611973","ZCTA5 11973, New York","9"
"8710000US3611975","ZCTA5 11975, New York","408"
"8710000US3611976","ZCTA5 11976, New York","1565"
"8710000US3611977","ZCTA5 11977, New York","2467"
"8710000US3611978","ZCTA5 11978, New York","3255"
"8710000US3611980","ZCTA5 11980, New York","4990"
"8710000US3612007","ZCTA5 12007, New York","60"
"8710000US3612008","ZCTA5 12008, New York","497"
"8710000US3612009","ZCTA5 12009, New York","7164"
"8710000US3612010","ZCTA5 12010, New York","28937"
"8710000US3612015","ZCTA5 12015, New York","3010"
"8710000US3612017","ZCTA5 12017, New York","435"
